sets,first_show,date
A-Punk,Houston,2024-06-06
Campus,Houston,2024-06-06
Capricorn,Houston,2024-06-06
Classical,Houston,2024-06-06
Connect,Houston,2024-06-06
Cousins,Houston,2024-06-06
Diane Young,Houston,2024-06-06
Flower Moon,Houston,2024-06-06
Gen-X Cops,Houston,2024-06-06
Hannah Hunt,Houston,2024-06-06
Harmony Hall,Houston,2024-06-06
Holiday,Houston,2024-06-06
Hope,Houston,2024-06-06
Ice Cream Piano,Houston,2024-06-06
Mansard Roof,Houston,2024-06-06
Mary Boone,Houston,2024-06-06
Oxford Comma,Houston,2024-06-06
Pravda,Houston,2024-06-06
Prep-School Gangsters,Houston,2024-06-06
Sunflower,Houston,2024-06-06
This Life,Houston,2024-06-06
Unbearably White,Houston,2024-06-06
Unbelievers,Houston,2024-06-06
Walcott,Houston,2024-06-06
White Sky,Houston,2024-06-06
Cape Cod Kwassa Kwassa,Irving,2024-06-07
Cocaine Cowboys,Irving,2024-06-07
Hold You Now,Irving,2024-06-07
M79,Irving,2024-06-07
Step,Irving,2024-06-07
Sympathy,Irving,2024-06-07
The Surfer,Irving,2024-06-07
Bambina,Phoenix,2024-06-09
Bryn,Phoenix,2024-06-09
New Dorp. New York,Phoenix,2024-06-09
One (Blake's Got a New Face),Phoenix,2024-06-09
Obvious Bicycle,San Diego,2024-06-10
The Kids Don't Stand a Chance,San Diego,2024-06-10
Worship You,San Diego,2024-06-10
Ya Hey,San Diego,2024-06-10
Boston (Ladies of Cambridge),Los Angeles,2024-06-12
Dangerous Night (The Night Is a Knife),Los Angeles,2024-06-12
Giving Up the Gun,Los Angeles,2024-06-12
Ottoman,Los Angeles,2024-06-12
I Stand Corrected,Berkeley 1,2024-06-15
Horchata,Berkeley 2,2024-06-16
We Belong Together,Berkeley 2,2024-06-16
Rich Man,Burnaby,2024-06-18
SNL Closing Theme (A Waltz in A) / Flower Moon,Bonner 1,2024-06-22
Run,Dillon,2024-07-20
How Long?,Kansas City,2024-07-22
Diplomat's Son,Milwaukee,2024-08-01
I Think Ur a Contra,Milwaukee,2024-08-01
Everlasting Arms,New York 2,2024-10-06
Big Blue,Austin 2,2024-10-17
California English,London 4,2024-12-11
